# 関東グルメマップ全食材（504件）画像マッピング一覧
`data.js` に登録されている全504件の食材データについて、紐づく画像ファイル名とステータス（既存画像の使用 / 新規画像の生成 / 同一画像の使い回し）を整理した一覧表です。
---
## 📊 ステータス凡例
- **[既存画像]**: すでに `images/` に画像があり、そのまま使えるもの。
- **[既存で代用]**: すでに存在する特定の画像（例: `kanagawa_shirasu.jpg`）でカバーできるため、新規生成が不要なもの。
- **[共通化]**: 同県内の別季節の同じ食材の画像を使い回すため、新規生成が不要なもの。
- **[新規生成]**: 今回新しく生成・追加する必要があるもの。
---
## 1. 茨城県 (ibaraki) - 計72件
| 季節 | 食材名 | カテゴリ | 紐づく画像ファイル名 | ステータス | 備考 |
| :--- | :--- | :--- | :--- | :--- | :--- |
| 春 | 水戸納豆 | 加工品 | `ibaraki_mitonatto.jpg` | **[新規生成]** | |
| 春 | 春キャベツ | 野菜 | `ibaraki_harukyabetsu.jpg` | **[新規生成]** | |
| 春 | しらす | 海鮮 | `ibaraki_shirasu.jpg` | **[新規生成]** | |
| 春 | たけのこ | 野菜 | `ibaraki_takenoko.jpg` | **[新規生成]** | |
| 春 | 菜の花 | 野菜 | `ibaraki_nanohana.jpg` | **[新規生成]** | |
| 春 | ハマグリ | 海鮮 | `ibaraki_hamaguri.jpg` | **[新規生成]** | |
| 春 | いちご | 果物 | `ibaraki_ichigo.jpg` | **[新規生成]** | |
| 春 | わかさぎ | 海鮮 | `ibaraki_wakasagi.jpg` | **[新規生成]** | |
| 春 | 春レタス | 野菜 | `ibaraki_haruretasu.jpg` | **[新規生成]** | |
| 春 | 新玉ねぎ | 野菜 | `ibaraki_shintamanegi.jpg` | **[新規生成]** | |
| 春 | 山菜 | 野菜 | `ibaraki_sansai.jpg` | **[新規生成]** | |
| 春 | セリ | 野菜 | `ibaraki_seri.jpg` | **[新規生成]** | |
| 春 | アスパラガス | 野菜 | `ibaraki_asuparagasu.jpg` | **[新規生成]** | |
| 春 | 春大根 | 野菜 | `ibaraki_harudaikon.jpg` | **[新規生成]** | |
| 春 | イワシ | 海鮮 | `ibaraki_iwashi.jpg` | **[新規生成]** | |
| 春 | 鯛 | 海鮮 | `ibaraki_tai.jpg` | **[新規生成]** | |
| 春 | よもぎ餅 | スイーツ | `ibaraki_yomogimochi.jpg` | **[新規生成]** | |
| 春 | 梅加工品 | 加工品 | `ibaraki_umekakouhin.jpg` | **[新規生成]** | |
| 夏 | メロン | 果物 | `ibaraki_meron.jpg` | **[新規生成]** | |
| 夏 | スイカ | 果物 | `ibaraki_suika.jpg` | **[新規生成]** | |
| 夏 | とうもろこし | 野菜 | `ibaraki_toumorokoshi.jpg` | **[新規生成]** | |
| 夏 | 枝豆 | 野菜 | `ibaraki_edamame.jpg` | **[新規生成]** | |
| 夏 | ピーマン | 野菜 | `ibaraki_piiman.jpg` | **[新規生成]** | |
| 夏 | トマト | 野菜 | `ibaraki_tomato.jpg` | **[新規生成]** | |
| 夏 | しじみ | 海鮮 | `ibaraki_shijimi.jpg` | **[新規生成]** | |
| 夏 | アユ | 海鮮 | `ibaraki_ayu.jpg` | **[新規生成]** | |
| 夏 | ナス | 野菜 | `ibaraki_nasu.jpg` | **[新規生成]** | |
| 夏 | きゅうり | 野菜 | `ibaraki_kyuri.jpg` | **[新規生成]** | |
| 夏 | ズッキーニ | 野菜 | `ibaraki_zukkini.jpg` | **[新規生成]** | |
| 夏 | ゴーヤ | 野菜 | `ibaraki_goya.jpg` | **[新規生成]** | |
| 夏 | 梨 | 果物 | `ibaraki_nashi.jpg` | **[新規生成]** | 秋の「梨」と共通 |
| 夏 | ブルーベリー | 果物 | `ibaraki_buruberi.jpg` | **[新規生成]** | |
| 夏 | かぼちゃ | 野菜 | `ibaraki_kabocha.jpg` | **[新規生成]** | 冬の「かぼちゃ」と共通 |
| 夏 | オクラ | 野菜 | `ibaraki_okura.jpg` | **[新規生成]** | |
| 夏 | 冷やし納豆そば | 郷土料理 | `ibaraki_hiyashinattosoba.jpg` | **[新規生成]** | |
| 夏 | 常陸牛焼肉 | 郷土料理 | `ibaraki_hitachigyuyakiniku.jpg` | **[新規生成]** | |
| 秋 | れんこん | 野菜 | `ibaraki_renkon.jpg` | **[新規生成]** | |
| 秋 | 栗 | 果物 | `ibaraki_kuri.jpg` | **[新規生成]** | |
| 秋 | さつまいも | 野菜 | `ibaraki_satsumaimo.jpg` | **[新規生成]** | |
| 秋 | 梨 | 果物 | `ibaraki_nashi.jpg` | **[共通化]** | 夏の「梨」画像を使用 |
| 秋 | 新米 | 米 | `ibaraki_shinmai.jpg` | **[新規生成]** | |
| 秋 | 舞茸 | きのこ | `ibaraki_maitake.jpg` | **[新規生成]** | |
| 秋 | 常陸秋そば | 郷土料理 | `ibaraki_hitachiakisoba.jpg` | **[新規生成]** | |
| 秋 | 柿 | 果物 | `ibaraki_kaki.jpg` | **[新規生成]** | |
| 秋 | しいたけ | きのこ | `ibaraki_shiitake.jpg` | **[新規生成]** | |
| 秋 | 里芋 | 野菜 | `ibaraki_satoimo.jpg` | **[新規生成]** | |
| 秋 | ごぼう | 野菜 | `ibaraki_gobou.jpg` | **[新規生成]** | |
| 秋 | さんま | 海鮮 | `ibaraki_sanma.jpg` | **[新規生成]** | |
| 秋 | 秋ナス | 野菜 | `ibaraki_akinasu.jpg` | **[新規生成]** | |
| 秋 | 落花生 | 果物 | `ibaraki_rakkasei.jpg` | **[新規生成]** | |
| 秋 | ぶどう | 果物 | `ibaraki_budou.jpg` | **[新規生成]** | |
| 秋 | きのこ汁 | 郷土料理 | `ibaraki_kinokojiru.jpg` | **[新規生成]** | |
| 秋 | 栗おこわ | 米 | `ibaraki_kuriokowa.jpg` | **[新規生成]** | |
| 秋 | 干し芋 | 加工品 | `ibaraki_hoshiimo.jpg` | **[新規生成]** | 冬の「ほしいも」と共通 |
| 冬 | あんこう | 海鮮 | `ibaraki_ankou.jpg` | **[新規生成]** | |
| 冬 | ほしいも | 加工品 | `ibaraki_hoshiimo.jpg` | **[共通化]** | 秋の「干し芋」画像を使用 |
| 冬 | 白菜 | 野菜 | `ibaraki_hakusai.jpg` | **[新規生成]** | |
| 冬 | ねぎ | 野菜 | `ibaraki_negi.jpg` | **[新規生成]** | |
| 冬 | 常陸牛 | 肉 | `ibaraki_hitachigyu.jpg` | **[新規生成]** | |
| 冬 | ブリ | 海鮮 | `ibaraki_buri.jpg` | **[新規生成]** | |
| 冬 | 大根 | 野菜 | `ibaraki_daikon.jpg` | **[新規生成]** | |
| 冬 | かぼちゃ | 野菜 | `ibaraki_kabocha.jpg` | **[共通化]** | 夏の「かぼちゃ」画像を使用 |
| 冬 | 小松菜 | 野菜 | `ibaraki_komatsuna.jpg` | **[新規生成]** | |
| 冬 | ほうれん草 | 野菜 | `ibaraki_hourensou.jpg` | **[新規生成]** | |
| 冬 | あんこう鍋 | 郷土料理 | `ibaraki_ankounabe.jpg` | **[新規生成]** | |
| 冬 | けんちん汁 | 郷土料理 | `ibaraki_kenchinjiru.jpg` | **[新規生成]** | |
| 冬 | 干し大根 | 加工品 | `ibaraki_hoshidaikon.jpg` | **[新規生成]** | |
| 冬 | わかさぎ唐揚げ | 郷土料理 | `ibaraki_wakasagikaraage.jpg` | **[新規生成]** | |
| 冬 | 冬キャベツ | 野菜 | `ibaraki_fuyukyabetsu.jpg` | **[新規生成]** | |
| 冬 | 鍋用きのこ | きのこ | `ibaraki_nabeyoukinoko.jpg` | **[新規生成]** | |
| 冬 | 納豆汁 | 郷土料理 | `ibaraki_nattojiru.jpg` | **[新規生成]** | |
| 冬 | レンコン団子 | 郷土料理 | `ibaraki_renkondango.jpg` | **[新規生成]** | |
---
## 2. 栃木県 (tochigi) - 計72件
| 季節 | 食材名 | カテゴリ | 紐づく画像ファイル名 | ステータス | 備考 |
| :--- | :--- | :--- | :--- | :--- | :--- |
| 春 | とちおとめ | 果物 | `tochigi_tochiotome.jpg` | **[新規生成]** | |
| 春 | スカイベリー | 果物 | `tochigi_skyberry.jpg` | **[新規生成]** | |
| 春 | 山菜 | 野菜 | `tochigi_sansai.jpg` | **[新規生成]** | |
| 春 | アスパラガス | 野菜 | `tochigi_asuparagasu.jpg` | **[新規生成]** | |
| 春 | にら | 野菜 | `tochigi_nira.jpg` | **[新規生成]** | |
| 春 | たけのこ | 野菜 | `tochigi_takenoko.jpg` | **[新規生成]** | |
| 春 | 鮎 | 海鮮 | `tochigi_ayu.jpg` | **[新規生成]** | |
| 春 | 日光湯葉 | 加工品 | `tochigi_nikkoyuba.jpg` | **[新規生成]** | |
| 春 | 春レタス | 野菜 | `tochigi_haruretasu.jpg` | **[新規生成]** | |
| 春 | 春大根 | 野菜 | `tochigi_harudaikon.jpg` | **[新規生成]** | |
| 春 | 菜の花 | 野菜 | `tochigi_nanohana.jpg` | **[新規生成]** | |
| 春 | いちごジャム | 加工品 | `tochigi_ichigojam.jpg` | **[新規生成]** | |
| 春 | いちご大福 | スイーツ | `tochigi_ichigodaifuku.jpg` | **[新規生成]** | |
| 春 | 日光ゆば刺し | 郷土料理 | `tochigi_nikkoyubasashi.jpg` | **[新規生成]** | |
| 春 | 春キャベツ | 野菜 | `tochigi_harukyabetsu.jpg` | **[新規生成]** | |
| 春 | わらび | 野菜 | `tochigi_warabi.jpg` | **[新規生成]** | |
| 春 | こごみ | 野菜 | `tochigi_kogomi.jpg` | **[新規生成]** | |
| 春 | 栃木和牛 | 肉 | `tochigi_tochigiwagyu.jpg` | **[新規生成]** | 秋の「栃木和牛」と共通 |
| 夏 | かんぴょう | 加工品 | `tochigi_kanpyo.jpg` | **[新規生成]** | |
| 夏 | トマト | 野菜 | `tochigi_tomato.jpg` | **[新規生成]** | |
| 夏 | きゅうり | 野菜 | `tochigi_kyuri.jpg` | **[新規生成]** | |
| 夏 | 枝豆 | 野菜 | `tochigi_edamame.jpg` | **[新規生成]** | |
| 夏 | とうもろこし | 野菜 | `tochigi_toumorokoshi.jpg` | **[新規生成]** | |
| 夏 | ブルーベリー | 果物 | `tochigi_blueberry.jpg` | **[新規生成]** | |
| 夏 | ヤシオマス | 海鮮 | `tochigi_yashiomasu.jpg` | **[新規生成]** | |
| 夏 | なす | 野菜 | `tochigi_nasu.jpg` | **[新規生成]** | |
| 夏 | 冷やし餃子 | 郷土料理 | `tochigi_hiyashigyoza.jpg` | **[新規生成]** | |
| 夏 | 鮎の塩焼き | 郷土料理 | `tochigi_ayushioyaki.jpg` | **[新規生成]** | |
| 夏 | ズッキーニ | 野菜 | `tochigi_zucchini.jpg` | **[新規生成]** | |
| 夏 | オクラ | 野菜 | `tochigi_okura.jpg` | **[新規生成]** | |
| 夏 | モロヘイヤ | 野菜 | `tochigi_moroheiya.jpg` | **[新規生成]** | |
| 夏 | かき氷 | スイーツ | `tochigi_kakigori.jpg` | **[新規生成]** | |
| 夏 | 冷やしゆば | 郷土料理 | `tochigi_hiyashiyuba.jpg` | **[新規生成]** | |
